,mda_round,beta,cr_factor,mda_coverage,strategy,b_drug
402,0,0.0475,1,0.9,AAB,DHAPPQ
403,0,0.0475,1,0.9,ABA,DHAPPQ
404,0,0.0475,1,0.9,ABB,DHAPPQ
405,0,0.0475,1,0.9,AAB,KAFLUM
406,0,0.0475,1,0.9,ABA,KAFLUM
407,0,0.0475,1,0.9,ABB,KAFLUM
408,0,0.0475,2,0.6,AAB,DHAPPQ
409,0,0.0475,2,0.6,ABA,DHAPPQ
410,0,0.0475,2,0.6,ABB,DHAPPQ
411,0,0.0475,2,0.6,AAB,KAFLUM
412,0,0.0475,2,0.6,ABA,KAFLUM
413,0,0.0475,2,0.6,ABB,KAFLUM
414,0,0.0475,2,0.7,AAB,DHAPPQ
415,0,0.0475,2,0.7,ABA,DHAPPQ
416,0,0.0475,2,0.7,ABB,DHAPPQ
417,0,0.0475,2,0.7,AAB,KAFLUM
418,0,0.0475,2,0.7,ABA,KAFLUM
419,0,0.0475,2,0.7,ABB,KAFLUM
420,0,0.0475,2,0.8,AAB,DHAPPQ
421,0,0.0475,2,0.8,ABA,DHAPPQ
422,0,0.0475,2,0.8,ABB,DHAPPQ
423,0,0.0475,2,0.8,AAB,KAFLUM
424,0,0.0475,2,0.8,ABA,KAFLUM
425,0,0.0475,2,0.8,ABB,KAFLUM
426,0,0.0475,2,0.9,AAB,DHAPPQ
427,0,0.0475,2,0.9,ABA,DHAPPQ
428,0,0.0475,2,0.9,ABB,DHAPPQ
429,0,0.0475,2,0.9,AAB,KAFLUM
430,0,0.0475,2,0.9,ABA,KAFLUM
431,0,0.0475,2,0.9,ABB,KAFLUM
432,0,0.0475,5,0.6,AAB,DHAPPQ
433,0,0.0475,5,0.6,ABA,DHAPPQ
434,0,0.0475,5,0.6,ABB,DHAPPQ
435,0,0.0475,5,0.6,AAB,KAFLUM
436,0,0.0475,5,0.6,ABA,KAFLUM
437,0,0.0475,5,0.6,ABB,KAFLUM
438,0,0.0475,5,0.7,AAB,DHAPPQ
439,0,0.0475,5,0.7,ABA,DHAPPQ
440,0,0.0475,5,0.7,ABB,DHAPPQ
441,0,0.0475,5,0.7,AAB,KAFLUM
442,0,0.0475,5,0.7,ABA,KAFLUM
443,0,0.0475,5,0.7,ABB,KAFLUM
444,0,0.0475,5,0.8,AAB,DHAPPQ
445,0,0.0475,5,0.8,ABA,DHAPPQ
446,0,0.0475,5,0.8,ABB,DHAPPQ
447,0,0.0475,5,0.8,AAB,KAFLUM
448,0,0.0475,5,0.8,ABA,KAFLUM
449,0,0.0475,5,0.8,ABB,KAFLUM
450,0,0.0475,5,0.9,AAB,DHAPPQ
451,0,0.0475,5,0.9,ABA,DHAPPQ
452,0,0.0475,5,0.9,ABB,DHAPPQ
453,0,0.0475,5,0.9,AAB,KAFLUM
454,0,0.0475,5,0.9,ABA,KAFLUM
455,0,0.0475,5,0.9,ABB,KAFLUM
456,0,0.0475,10,0.6,AAB,DHAPPQ
457,0,0.0475,10,0.6,ABA,DHAPPQ
458,0,0.0475,10,0.6,ABB,DHAPPQ
459,0,0.0475,10,0.6,AAB,KAFLUM
460,0,0.0475,10,0.6,ABA,KAFLUM
461,0,0.0475,10,0.6,ABB,KAFLUM
462,0,0.0475,10,0.7,AAB,DHAPPQ
463,0,0.0475,10,0.7,ABA,DHAPPQ
464,0,0.0475,10,0.7,ABB,DHAPPQ
465,0,0.0475,10,0.7,AAB,KAFLUM
466,0,0.0475,10,0.7,ABA,KAFLUM
467,0,0.0475,10,0.7,ABB,KAFLUM
468,0,0.0475,10,0.8,AAB,DHAPPQ
469,0,0.0475,10,0.8,ABA,DHAPPQ
470,0,0.0475,10,0.8,ABB,DHAPPQ
471,0,0.0475,10,0.8,AAB,KAFLUM
472,0,0.0475,10,0.8,ABA,KAFLUM
473,0,0.0475,10,0.8,ABB,KAFLUM
474,0,0.0475,10,0.9,AAB,DHAPPQ
475,0,0.0475,10,0.9,ABA,DHAPPQ
476,0,0.0475,10,0.9,ABB,DHAPPQ
477,0,0.0475,10,0.9,AAB,KAFLUM
478,0,0.0475,10,0.9,ABA,KAFLUM
479,0,0.0475,10,0.9,ABB,KAFLUM
480,1,0.06413,1,0.6,AAB,DHAPPQ
481,1,0.06413,1,0.6,ABA,DHAPPQ
482,1,0.06413,1,0.6,ABB,DHAPPQ
483,1,0.06413,1,0.6,AAB,KAFLUM
484,1,0.06413,1,0.6,ABA,KAFLUM
485,1,0.06413,1,0.6,ABB,KAFLUM
486,1,0.06413,1,0.7,AAB,DHAPPQ
487,1,0.06413,1,0.7,ABA,DHAPPQ
488,1,0.06413,1,0.7,ABB,DHAPPQ
489,1,0.06413,1,0.7,AAB,KAFLUM
490,1,0.06413,1,0.7,ABA,KAFLUM
491,1,0.06413,1,0.7,ABB,KAFLUM
492,1,0.06413,1,0.8,AAB,DHAPPQ
493,1,0.06413,1,0.8,ABA,DHAPPQ
494,1,0.06413,1,0.8,ABB,DHAPPQ
495,1,0.06413,1,0.8,AAB,KAFLUM
496,1,0.06413,1,0.8,ABA,KAFLUM
497,1,0.06413,1,0.8,ABB,KAFLUM
498,1,0.06413,1,0.9,AAB,DHAPPQ
499,1,0.06413,1,0.9,ABA,DHAPPQ
500,1,0.06413,1,0.9,ABB,DHAPPQ
501,1,0.06413,1,0.9,AAB,KAFLUM
502,1,0.06413,1,0.9,ABA,KAFLUM
503,1,0.06413,1,0.9,ABB,KAFLUM
504,1,0.06413,2,0.6,AAB,DHAPPQ
505,1,0.06413,2,0.6,ABA,DHAPPQ
506,1,0.06413,2,0.6,ABB,DHAPPQ
507,1,0.06413,2,0.6,AAB,KAFLUM
508,1,0.06413,2,0.6,ABA,KAFLUM
509,1,0.06413,2,0.6,ABB,KAFLUM
510,1,0.06413,2,0.7,AAB,DHAPPQ
511,1,0.06413,2,0.7,ABA,DHAPPQ
512,1,0.06413,2,0.7,ABB,DHAPPQ
513,1,0.06413,2,0.7,AAB,KAFLUM
514,1,0.06413,2,0.7,ABA,KAFLUM
515,1,0.06413,2,0.7,ABB,KAFLUM
516,1,0.06413,2,0.8,AAB,DHAPPQ
517,1,0.06413,2,0.8,ABA,DHAPPQ
518,1,0.06413,2,0.8,ABB,DHAPPQ
519,1,0.06413,2,0.8,AAB,KAFLUM
520,1,0.06413,2,0.8,ABA,KAFLUM
